Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Sex,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Female,Tunisia,2016-03-27 00:53:11,No
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,Male,Nauru,2016-04-04 01:39:02,No
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,Female,San Marino,2016-03-13 20:35:42,No
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Male,Italy,2016-01-10 02:31:19,No
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,Female,Iceland,2016-06-03 03:36:18,No
59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,Male,Norway,2016-05-19 14:30:17,No
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,Female,Myanmar,2016-01-28 20:59:32,No
66.0,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,Male,Australia,2016-03-07 01:40:15,Yes
74.53,30,68862.0,221.51,Configurable coherent function,West Colin,Male,Grenada,2016-04-18 09:33:42,No
69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,Male,Ghana,2016-07-11 01:42:51,No
47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,Female,Qatar,2016-03-16 20:19:01,Yes
83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,Male,Burundi,2016-05-08 08:10:10,No
69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,Male,Egypt,2016-06-03 01:14:41,Yes
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,Female,Bosnia and Herzegovina,2016-04-20 21:49:22,No
42.95,33,30976.0,143.56,Grass-roots coherent extranet,West William,Female,Barbados,2016-03-24 09:31:49,Yes
63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,Male,Spain,2016-03-09 03:41:30,Yes
55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,Female,Palestinian Territory,2016-01-30 19:20:41,Yes
